,name,score,comment
10,张咏轩Wayne,1," 这玩意在北美票房大爆，跟《前任3》《厉害了，我的国》在中国大爆，有异曲同工之妙，你我get不到的美妙…
                
                "
11,BY,1," 杂耍电影，幼稚园想象力，看到一半气得直哭。
        "
12,桃桃淘电影,3," 还是太套路了，不过是主角换成黑人。又一部扩大版图的棋子作品而已，动作场面和剧情亮点都很有限。中间插入了些政治野心，其实也挺没劲的。
        "
13,Henrique Asano,2," 节奏实在不行，釜山街头大战之后就没气了，可不是来看讲家族纠葛史、一副苦大仇深的情感片的啊。后半程一定是编不下去了，主角和反派一起看夕阳，谁想出来的
        "
14,瓦力,2," 无法接受《复联3》前重头戏就讲了个无聊又儿戏的王位争夺战，男主被扔下瀑布后毫无磨砺就满血回归，回想《银护2》《雷神3》会发现本片第三幕弥漫想象力濒临枯竭的味道，怪不得每段预告必放卸车轱辘，因为就那段是看点，彩蛋也无聊，那谁为满足迷妹期待毫无作用地露个脸，灵魂宝石哪儿去了？5/10
        "
15,大瘦瘦,2," 表面是超级英雄电影，内里其实是黑人yy大片，虽然连美国人都给你们跪下了，但还是要说，冷锋一去你们全灭，最后都得管中国叫爸爸。PS:国内公映全是3d，黑咕隆咚一堆夜戏再看一堆黑人，你tm小时候没听过黑人吃巧克力的笑话吗？
        "
16,小四不象,2," 非洲土著开宇宙飞船这种违和的设定实在让人看了不舒服，漫威的瓦坎达对应的应该是DC里的亚马逊族，隐于一隅，保持古老的传统，靠冷兵器战斗，硬加入高科技元素并不会产生赛博朋克、蒸汽朋克那种视觉张力，而只有视觉别扭。另外剧情也一无是处，争王位什么的太low了。
        "
17,宝爷,5," 还有什么比英俊健美的黑人穿成猫一样湿身扭打在一起，顺便赞美了女性力量，的电影更美好的事物吗？
        "
18,文森特九六,2," 无聊透顶，近乎儿戏，哪怕不谈那些“政治正确”，也仍旧是个人目前为止最讨厌的一部漫威。两星全给“Blaxploitation以空前强大的姿态再次登台弄潮”这层里子，毕竟身为影迷，我们好歹也算是见证了一次亚类型历史。
        "
19,亵渎电影,4," 这部电影就像漫威宇宙的一股清流，漫威正儿八经的拍起了严肃的正剧，不逗逼，不卖腐，没有了以往插科打诨的笑点段子，剧情朝着经典到永不过时的莎翁剧而去，把黑豹拍出了普通人的特质。只是电影在追求观众基数最大化的同时，把故事、人物和主题都做了通俗化的处理，坐等明年奥斯卡最佳影片的提名吧。
        "
20,何婊砸,4," 篡位之战，黑豹和女卫队酷帅十足气场强，高科技和部落传统并存的资源大国富国瓦坎达。Okoye太帅了！！！叮叮咚咚的配乐太过瘾！好想摸黑豹哥的胸( . )( . )（¯┍¯）！动作设计不够凌厉，战斗收场有点失败。Michael B. Jordan的轻佻反派太酷了！！Shuri长得好像日日。彩蛋居然出现了我老公！！！
        "
21,安,2," 黑人朋友的战狼。
        "
22,易老邪,2," 黑人剥削+超级英雄。PS：TMD，现在电影里连非洲黑哥们儿都能征服世界拯救地球了，我们这崛起的大国却还只敢哆哆嗦嗦地撤个侨，还动辄被骂民族主义大国沙文，真是没天理啊！
        "
23,凌睿,4," 说好的非洲农业不发达呢？
        "
24,大奇特(Grinch),2," 70年代“黑人剥削片”的升级回魂，只美观不耐用。瓦坎达的神话与科技杂交的四不像，高科技吹的天花乱坠、脱离现实，世界观搭建的缺乏可信度。前面的城市战冗长乏味，后面的“狮子王”套路满满。对话内容不停重复，演员对于幽默情节的掌控也是比较尴尬。只喊世界大同的空话，倒是很会讨好时局。
        "
25,Merov Mugatu!,2," 木法沙干掉了刀疤，刀疤的儿子高孚回来找辛巴报仇。他失败原因？没有和辛巴的妹妹(女儿)琪拉雅谈恋爱，实现政权的平稳过度。
        "
26,时间之葬,4," 有些国人的论调真的是，只许你们YY大国崛起，不许黑人幻想自己天下第一？
        "
27,米粒,4," 没看过原著漫画，不知库格勒自己加入了多少内容，他或许是美国现在最能讲好种族故事的年轻导演了。这部背景介绍融入了非洲和美国黑人的历史，故事整体又是莎翁风格表层下对种族运动和世界政治的思考，手握巨大力量的时候，复仇只会造成内部的分裂。如果没有那些漫威必有的动作废戏，会非常作者
        "
28,稻草人。,2," 2分不能再多了。感觉这个黑豹和妇联的不是一个人啊。这个片子蜜汁中二。反派居然是个共产主义°
        "
29,影志,4," 黑人版《狮子王》，和之前漫威风格不同，全新的感觉，荒蛮与先进交织，生生不息。黑人，女性，给电影注入全部的力量。片尾漏沙特效点赞，结尾两个彩蛋别走开，一个联合国一个冬兵…“我的职责就是为我的挚爱而战”
        "
30,K,3," 情节感觉不太行啊。所谓的黑人一个其实并不是一个种族啊，在非洲尤其如此。在非洲干掉最多黑人的还是黑人啊。黑人不同种族之间残杀比白人的压迫厉害多了，比如卢旺达屠杀。而且美国的黑人就算有了高科技武器也是卵用没有啊。美国黑人主要问题是爹跑了。
        "
31,大聪看电影,3," 过年我们还在夸《红海行动》战争场面比肩好莱坞的时候，那边已经把很多深刻的议题，注入进一部娱乐为主的超级英雄电影里，想想都可怕，好莱坞依然很强大呀。能理解电影在西方的烂番茄评为为何这么高，毕竟影片讨论了他们的文化和政治议题，这也是至今为止漫威超级英雄电影探讨现实问题最深的一部作品
                
                "
32,小宝君,3," 太匪夷所思了，都这么有钱了还这么落后
        "
33,皮革业,3," 黑豹很可能有密集恐惧症——只要堂弟穿上衣服，不露那一身疙瘩，就根本不是对手。
        "
34,PHY,4," 殿下在第一部就解决了困扰marvel DC几乎全部超级英雄的核心问题—Father Issue，非常优秀非常好。PS：彩蛋里Bucky天下第一美貌软糯可爱！！！
        "
35,王大根,3," 这不就非洲版雷神兄弟吗，堂弟比黑豹有魅力三十倍吧
        "
36,L,2," 烂威电影，呵呵
        "
37,小九,4," 智者建桥，愚者筑墙。因为这句台词加一星。
        "
38,陆支羽,4," 4.0。1.看大家打分都不高，但我真的很喜欢。2.娱乐性上没有迎合漫威迷，但并不代表它不是优秀的漫威电影，所谓政治正确终究只是拘泥于当下的狭隘之间。3.剧作很有野心，重燃了很多人对于超级英雄电影寻求深度可能性的希望。
        "
39,bohegao,4," 我来说句公道话，不管黑豹黄豹还是雪豹，长得帅就是好报！
        "
40,Madison,2," 和政治正确没关系，这夜戏拍的我眼都快瞎了。
        "
41,Y,4," 老实说感觉是漫威最拖沓不好看的一部了。。
        "
42,glim,4," 不晓得那些拿战狼来比的是怎么想的，国王说过拿着瓦坎达的护照黑豹去救你么，说过惹我瓦坎达虽远必诛么？皇非的情绪跟皇汉一样，极端到残暴，nigga need peace and love
        "
43,艾人十,3," 过誉的大型非洲风俗秀
        "
44,帕拉多克斯,2," 拼凑痕迹重。漫威家科技与神话杂交的怪异体验这次犹重，好莱坞的非洲（黑人）题材很投机啊，美帝的G点也是很奇怪。
        "
45,十欸誰,3," 2.5 視線全被Your Highness卷翹濃密的睫毛吸引走了. 除了韓國那場追車戲還挺酷炫以外 從劇情編排到人物塑造都乏善可陳 格局越拍越小家子氣 笑點也跟量化指標似的
        "
46,小煜喔🐈,3," 看的首映，都是漫威粉。反派的死是在逗我吗，是不是就继位了一天就死了啊蛇精病啊 。全片清汤寡水没有剧情高潮，平淡无奇，最大看点斯坦李老爷子，最美场景最后彩蛋冬兵，我也不知道特查拉到底干了啥，和雷神3比都差远了（至少我很喜欢雷3）
        "
47,Peter Cat,-," 从剧本到特效都有一种浓浓山寨感，政治正确？政治鸦片吧
        "
48,王小能,3," 我那么讨厌漫威电影宇宙，居然觉得这部片子的有趣程度超过预期。黑人们真是健美自然，女摄影师的镜头特质很棒。还有 “同志亦凡人中文站”这个账号评论电影是不是只有“太政治正确”这句话？为什么哪儿哪儿都能看到他指点“这太政治正确了”？
        "
49,有意识的贱民,3," 说句心里话，不知道北美观众在高潮什么…可能他们看完《战狼2》也会跟我有一样的困惑。
        "
50,Carf,2," 黑宫斗
        "
51,夏奈,3," 剧情上没有任何出彩的地方，节奏拖沓演员之间火花也有限，又一个政治意义大于电影本身的范例。
        "
52,法兰西胶片,3," 这片的政治正确属于万能开挂级别！一开始以为主怼川普，但其实是把民主党、北朝鲜还有中国花样回旋抽脸。川普都要和金正恩会晤了，还有比这更配套的电影宣传吗？是的它视听层面极差，但文本与当代政治形势的联结超出所有漫威电影格局。当然也少不了给老婆下跪这种迪士尼大女权，真以为你逃出了绝命镇？
        "
53,女神的秋裤,3," 《黑豹》不是漫威最棒，而是最反漫威的一部。一改搞笑逗逼风，加入严肃现实的主题有了高度，但剧情很干，视效疲劳，配乐不是很搭，严肃中的反差笑点很尴尬，和MCU其他电影联动较少，神奇女侠只会双臂交叉嗷嗷发大招，黑豹也是了…作为漫威NC粉：目前18部中最不喜欢的一部
        "
54,秃顶艺ber,4," 剧情小气，但有趣的是非洲美学混搭高科技的奇异视觉冲击感。知识，就是力量啊。
        "
55,Arthur,2," 勇气可嘉，非洲土著的阿凡达，封建帝制的乌托邦，虽然全是老黑但美黑是以一个挑衅篡位者的角色闯入非黑世界，所以口音配乐文化都是谁都入不了座的奇葩，视觉简直近乎玄幻，然而说是就是的人物关系剧情走向不敢动脑。笑点很尬。双彩蛋无聊
        "
56,Penina,3," 《黑豹》真正的突破之处是它跳出了以往黑人题材""弱势群体视角""的格局。
        "
57,徐若风,4," 帅哭了！这部夹带作者性的商业巨制绝对是MCU系列前三，塑造了系列中最有心路历程的反派。“非洲是片科技大地”这种充满创造力的概念场景构建和政治明喻意淫简直是革命性的，节奏充满律动感，将黑人文化风俗和其反向历史在科幻动作类型的壳下融合得互为表里。政治之外，更触及信仰与宿命等普世议题。
        "
58,Amberose,5," 第一次看到电影院坐那么满，而且很多穿民族服饰的观众。这部电影里每一个年轻角色的身材都特！别！好！光头姐帅呆了！而且超多笑点23333
        "
59,巨米雨,4," 故事一般，不过推出新英雄和妇联对上口的两大任务完成了。优点还是大把，男演员都很帅女演员都超美，非洲女战士看得热血沸腾，黑科技倒是没看出比钢铁侠的好在哪里。美术设计太棒了，对非洲文化的展现好评，五颜六色的，有几幕想起狮子王，统称为喵系审美吧大概。潮男戏份居然还不少意外之喜。
        "
60,托尼·王大拿,2," 千万别想太多，当个略猎奇向的动作片来看就可以了，否则其在政治、阶级、文化、科技、外交等方面所透露出的肤浅会让人头炸的。
        "
61,基瑞尔,4," 社会意义和影响如同去年的WW诚不可欺。但抛开这些，王国的设定和它所面临的困境，加上随之给主角带来的挑战拓宽不少格局和视野，是一部有丰富命题的初代超英片。喜欢的几个世代非裔美国男演员集合了，MBJ作为反派，走出了《神四》的阴影，气场全开（文艺有《车站》，这次有这部，姨母般欣慰…）。
        "
62,贤二树,3," 谁能get到那种“诶哟卧槽这片子可要完了”抬头一看时间才刚过了一半的那种痛苦？
        "
63,少爷星星眼好萌,3," 白人黑人拍给黑人看的黑人意淫片，还历史首部黑人超级英雄电影？黑人意淫到把刀锋战士和全民超人汉考克开除出黑人了吗？还相信真的有瓦坎达到处吹嘘。鄙视漫威影业到现在还把亚裔华裔当路人甲乙丙。
        "
64,雨前羽街,3," 无论是对非洲黑人文化还是美国黑人文化都诠释的很肤浅，其实作为中国观众是很熟悉这种肤浅带来的尴尬的，远看花木兰近看长城你都能感觉到。另外是不是拍非洲的剧就只有一本埃及王子可以改了？非洲就没有点儿别的耳熟能详的文学作品了？好像还真没有…
        "
65,朝阳区白百合,2," 黑豹是巨蟹座无疑了，恋母又恋父，注重家庭，敏感犹豫还很啰嗦...#电影真的很无趣又无聊#
        "
66,水怪,5," 这完全是部两会后的修X换J献礼片啊！表弟听闻新王就把仙草烧尽这就是要无限L任啊，然后结果大家都看到了。贾巴里的姆巴库不就是偏安一隅的台湾亲王么，此外该片还探讨了血统世袭、肠胃制的弊端，且最终指向构建人类命运共同体的终极愿景，五星推荐！
        "
67,痞影人科莱昂,2," 漫威倒数了，请了一群硬件不错的黑人大哥演了这么一部让人全程瞌睡的片儿…
        "
68,光头,2," 非常平淡非常无聊，人物直接都没什么联系，雷神3起码在向一个风格去努力，这个直接弃疗了，敢情黑人题材观众就得网开一面？再说，这种奇怪的非洲部落文化，也只是美国人臆想出来的异域风情罢了  p.s.可更名：黑豹与红色娘子军
        "
69,桃,4," 香港是搶先美國上映~OST很有感覺！彩蛋有兩個，一個黑底字幕前一個黑底字幕後，全是為了復仇者聯盟3鋪設伏線的感覺，悄悄劇透第二個彩蛋有Winter Soldier出場！！不要錯過！！
        "
70,Luc,2," 黑命贵的意淫罢了。平庸的动作戏，Low爆的夺宫戏，还有贫乏的想象力。白人欠你们的，咱可不惯着！
        "
71,有西米,3," 再次印证了“漫威最佳”四个字有多么不值钱。
        "
72,恶魔奶爸Sam,1," 漫威有史以来最差的电影
        "
73,曾良君,3," 这剧情是个啥，狮子王吗？
        "
74,James,5," 漫威最好看的一部了吧，剧情不错，画面必须燃到爆，第一个彩蛋里“愚蠢者筑墙”是在diss Trump吧，很多熟悉面孔其中Get Out里的黑人小哥摇身一变为部落首领，着实惊到我了。
        "
75,恶魔的步调,3," 反派自带技能：密集恐怖症攻击！这可以说是一部没有黑人灵魂的黑人电影了，因为没有节奏感。这种族设定有点让人想起星际之门中神龙见首不见尾的神秘种族Nox。结尾彩蛋：冬日耶稣。前面好像说水形得奥斯卡后有人问诺兰明年奥斯卡会怎么样，诺兰说下届大概会是黑豹吧。感觉有点黑。
        "
76,大海里的针,4," 别听黑子瞎喷，我觉得比《蜘蛛侠》《雷神3》《银护2》好看。场面值票价，黑人音乐好听，反派很帅。
        "
77,Autorun,3," 没有窦唯的黑豹就是不行啊～
        "
78,花痴袭人,4," 喜欢的地方：美道服音乐/没有包袱地讲黑人为主的故事/女性角色/反派塑造得不错/大家都长得好看/安迪和马丁的对手戏统统看成咕噜和比尔博叙旧,  sorry can’t help it。若说不足，应该是宫斗剧先天的套路感吧。两个彩蛋。
        "
79,好的选择是因为,4," 黑豹兄弟双龙我！
        "
80,Run Girl Run,5," MBJ:“What’s up!” 哈哈哈哈哈哈哈哈哈哈哈幹喜歡死他了
        "
81,贡丸猩猩,3," 384粉丝请一定一定一定要看最后的彩蛋！我们刚苏醒的、白嫩的、长发的、害羞的、发光的Bucky！！！
        "
82,饮歌,4," 美队2以后最好的漫威，倒不是说它有多惊喜，只是它在保持复联老把戏的基础上，融入了大量非洲元素，让超级英雄第一次看起来有了不同的味道，到底是对得起这样全黑的卡司。讲故事的文戏够顺，亮功夫的武戏够燃，两者比例和节奏调配得也不错。
        "
83,X,5," 评论他妈的剧透严重，看一句都豹想打人，豆瓣和烂番茄差不多的恶心相儿，打个五星以示抗议。客观评价：MCU套路影片，妹妹豹击可爱，兄妹双倍可爱，四人团可爱无敌。
        "
84,瑾朵朵,3," 之前的国王去联合国开会都要装着很穷很落后的样子真是辛苦，明明比妮妮有钱一百倍，却只能捧着窝窝头看着对方张扬炫富
        "
85,桑尼半缘,1," 很奇葩的一部电影。高科技到那种程度，结果还要单挑和肉搏决定独裁者来统治。何其愚蠢，简直愚蠢。
        "
86,慕容复,3," 打斗的不算太过瘾，不过从侍卫长一身红袍投出长矛的那一刻，我就觉得自己是在看一部武侠片，后来男主落下山崖的那一刻，我是真的确信自己在看武侠了。
        "
87,Khef,2," 像是另一个纬度的“宝莱坞”电影
        "
88,丸内虐待狂,-," 非常奇怪的观感，一个巫术与黑科技全部领先全球的国家，其政治体制既像民主又像独裁，看上去有图腾崇拜但似乎没啥宗教信仰，感觉这样的国家不可能存在于地球上
        "
89,鹿菏,2," 没有明确的主题和矛盾，没有燃炸的场面，就连音乐都是在预告片里听完了，很让人尴尬无语的一部超级英雄片
        "
90,刘康康,2," 不懂为啥大家都抨击这部电影政治正确，在我看来根本就是反动透顶。瓦坎达一方面是非洲文明的能指符号，另一方面又变成了美国的能指符号（走出中立主义、接收难民），把真实历史上的种族矛盾神话成了黑人两兄弟的恩怨（哥哥杀死了亲弟弟）。与《疯狂动物城》一样通过混淆能指符号来消解革命。
        "
91,EowynChen,3," 平平无奇
        "
92,sean cheung,3," 當一個遠景略過溪谷間奔跑的動物時，我想，該不會是又一部莎士比亞，哦不是，獅子王吧？果不其然，雖然是變奏版。和種族有關，又扯上了難民議題，最後變成人道主義的姿態反省。它確實說了空話，想像了一個黑人的世外桃源，拍出了另一種優越感，也分出了另一種階級。
        "
93,baochen,4," 算是不錯的
值得深思的一部電影
想要一套黑豹裝備

        "
94,Thimala,4," 对不起我密恐……
        "
95,二月鸟语,2," 就算选了亮度最高的荧幕，这部电影看起来也依然“黑乎乎”的。
        "
96,欢乐分裂,3," 放在今日语境，不提某些专有名词也困难啊，虽说原著早有，但政治风潮的催化现在变本加厉，二元对立与说教都比较无聊；与漫威宇宙关联不大，但非洲风景自有独特魅力，算是新颖有趣的一面；前半段铺陈冗长，科技含量和打斗场面均合格水准。
        "
97,伊谢尔伦的风,3," 感觉按美国人这个YY遥远封闭的高科技国度的国王靠肉搏夺回王位的套路，完全可以拍个同款的，遥远神秘的东方，拥有核技术的封闭小国的三世祖金先生，靠跆拳道决斗继位……
        "
98,woo,1," 没预告片选的好看，整部精华就那一小段飞车，故事简单老套，后半部分无聊的几乎看不下去了，超英拍的这么无趣也是服了
        "
99,gegemoon,4," IMAX画面太酷炫！从音乐到服装和场景都颠覆以前MCU的作品，除了最后彩蛋也没太在意铺垫后续电影，专心讲黑豹自己的事。如果非要说剧情像狮子王的话，那也是辛巴回来找刀疤的儿子复仇（失败）的故事吧。小姐姐们超帅，想看她们和亚马逊女战士团战。
        "
100,我要变瘦变美丽,4," 很非洲啊 很好看啦
        "
101,張衛強ᵂᴱᴵ,3," 昨晚全程高度亢奋中看完首映，结果北美票房被封神的黑豹大王，真心一般！！！作为漫威必约系列，是肯定要推荐大家看的！！！毕竟这是历史上第一部最接近全黑人主角的爆米花大片电影，或许北美的高票房就是这样来的吧……
        "
102,西楼尘,3," 这里是最贫瘠的土地，却有最先进的科技；是被忽略的大陆，也是人类诞生之地。振金必须在深谷中开采淬炼方能成器，少年需要在人生中历经生离反目才能成王。作为超级英雄拯救世界，可以披挂蓄能战衣隔空驾驶工具。作为一国之主却要褪掉全部神力，有唇盘族祖鲁族的非洲土地教人祛魅，方能置之死地而后生。
        "
103,把噗,3," 飙车戏帅哭了好吗
        "
104,风间隼,3," 看一干好莱坞黑人明星咬着舌头学非洲口音，这感觉就好像京圈儿明星们非要蹩一口塑料普通话那样难受。音乐最出彩，服装、化妆和道具沾了非洲风情的光，难民和黑人问题让故事仿佛有了点英雄片难得的现实指涉，但其实还是少数群体内部保守力量干掉革命派的俗套。女将军飞矛钉车，黑豹挠地转弯两段不错。
        "
105,凳子叔,2," 世界上科技最发达的国家争夺皇位的内战，基本上就是乡长械斗的水平，除了炸了几台飞机和实验室一块超厚玻璃之外，他们甚至连群众的一砖一瓦都没破坏，这是什么精神，这是共产主义精神！

在美国连破票房纪录，我能想到的原因就四个字，大家都知道，我就不说了。
        "
106,喜悦姑娘的猫儿,2," 漫威的成功在于它不会因为是漫改而剧情设定低幼 电影前半段太惊艳了 它创造出来的部落文化世界庄严完整有厚度经得起推敲 但后半段偏离太远了不知所云 从韩国打完之后就成了蹩脚的狮子王抓马戏 该打没打得过瘾该延伸又没延开 失望。男主帅但演技还需进步 还有为啥觉得所有光头黑人女都长一个样？
        "
107,搬砖侠,2," 感觉真的对漫威产生了视觉的疲劳，老套的“王子复仇记”故事注入了黑人平权的政治正确主题，野心当然很大，但创作视野的局限依然很明显，另外就是迪士尼的垃圾转3D技术真的应该拿来批判一番，夜戏加黑人，都特么糊得啥也看不到了好吗！！！！
        "
108,头马,-," @Mingalar cinemas Yangon 在缅甸电影院开场前会放国歌和国旗，人就齐刷刷地站起来。于是陪缅甸的百姓们一起站了一会儿。然后发现引进片居然不配缅语字幕。开灯一看，原来刚刚站起来的都是西方白左。
        "
109,申公豹,2," 刷新了最差漫威电影的下限，钢铁侠3可以瞑目了。以及政治不正确也要说，这就是黑人版的战狼，充满了矛盾且愚蠢的意淫，但这种意淫内的逻辑缺失，更加表达了下等下流的意味。
        "
110,锐利修蕊,4," 片尾好看哭。即使是一部强调输出产物的漫威系列，仍然觉得高级不少，另外第一个彩蛋还戏谑了一把政治正确和媒体。但这也是它的缺陷，明明是一部独立影片，为了拉漫威的关联背离了剧作本质。心型草被烧和被言语煽动的群体，都让这部电影脱离了固有的受众，在男权与女权之间来回博弈，或许扇了谁一巴掌。
        "
111,惘然,3," 根据瓦坎达律法：国王登基时，若有人反对可与之挑战，胜者为王。于是反派就利用此律法取男主而代之，祸国殃民。女主质问将军怎可拥庸君？将军表示：“我效忠的正是那律法、王座、国家。”律法成了愚忠祸国的罪魁……我仿佛明白了这部电影会被引进的原因。#有句台词译得好：智者筑桥，愚者筑墙#
        "
112,青山,2," 这是把碟中谍制作团队请来了吗？所有桥段都设计格外刻意，大部分细节描写一眼就看出是为后面哪处段落服务，而本身出现处却没有一点存在意义。对话冗长而没有逻辑，动作浮夸且无聊。迪士尼这是要作大死啊？今年春晚加强版的节奏
        "
113,马二水,3," ""Bury me in the ocean with my ancestors who jumped from ships, because they knew death was better than bondage"" 泪目
        "
114,Terence_W_Yang,3," 最起码作为一部黑人电影还是打上了独特的印记，不过在我看来彩蛋1才应当是故事的开始，这个隐藏的超级大国背后显然可以挖掘很多故事，但是漫威显然选择牺牲了它来铺垫《复联3》，于是这一部又沦为了处理家庭琐事的秀场。
        "
115,汽车大师,3," 美国人抄外国腔英语，各种非洲猎奇元素加封建王朝，这个兄弟电影给我感觉还是黑人剥削片啊，希望下次出个正宗现代嘻哈英雄吧
        "
116,天马星,4," 大火不是没有道理，将流行元素和部落文化结合，视觉效果和艺术指导登峰造极。哈姆莱特式的复仇王子和落难国王新编，人物弧度丰满，造就漫威电影宇宙最悲情的反派。不同以往漫威电影，《黑豹》自成一体，结构完整，这才是一部电影，而不是漫威连续剧的某一集。奥斯卡的话，配乐美术造型奖项提名有机会。
        "
117,伊苏,2," 看过的漫威最烂…
        "
118,豁达叉鸡,4," “墙”似是影射特朗普那堵看不见的无形墙，到联合国拯救世界的却是被大多数人鄙夷的少数族裔。政治正确又如何？再政治正确一百部也受得起，谁又敢说爆米花电影不能推动历史一点一点往前进呢？黑人小孩可能会从中看到自己不一样的未来，白人小孩也能更学会尊重身边不一样的风景。（反派浴袍登基帅炸天）
        "
119,科林,3," 继《灰姑娘》《美女与野兽》之后，迪士尼冷不丁防把《狮子王》也真人化了。
        "
120,释凡,3," 非洲部落科幻版“王子复仇记”，黑豹与表弟权利斗争，老爸反以暴制暴杀害弟弟，但瓦坎达王国内高层公平决斗能决定国王？犹如外国武林盟主争霸！磁悬浮列车、超级飞碟、全息投影....科幻场景很炫酷。香港漫威式飙车大战，召唤地底犀牛群很酷，影射美军打维护世界和平旗号种族战争，比较过瘾，打分太苛求
        "
121,何倩彤,-," “Just because something works doesn't mean it can't be improved.” 恐怕當下最大的問題，不是改善有沒有在發生，而是實際上要如何發生。／反派那條線太揪心。""A kid from Oakland walking around and believing in fairytales.""
        "
122,汪金卫,2," 反派塑造的用心程度是漫威系列最好的，然而这片也就这一个优点了。瓦坎达世界观设定太奇葩，黑妹的科技树无敌开挂，卫队打仗还是如小孩打架。政体领袖更替方式=君主世袭制+人代会鼓掌制+部落比武制。剧情集合了所有俗套元素，结尾远不如《钢铁侠1》公布身份来得干净利落。为了政治正确快接着拍亚裔去吧
        "
123,Karno,5," 2/15首映 michael b jordan太帅 无限加星 我要爆灯了 上一次这么迷一个漫威人物还是冬兵第一次出场的时候lolllll 首尔追车戏霸气了 漫威都爱手刹？周末哥的声音一出来就鸡皮疙瘩了 女战士从赌场二楼一袭红裙飞身而下非常惊艳 看到最后觉得金豹子才是真英雄 我跪了
        "
124,卓扬Eris,3," 拥有严格血统论的部落闭关锁国还发展出逆天高科技，简直荒谬……充满casual racism，结果最后是一个虚伪的内战，估计很多不明事理的观众要跟着反派一起高潮了……不过反派真的是帅啊啊啊！
        "
125,大时代歌姬,-," 这是个扛着红旗反红旗的故事。
堂哥真正代表美国黑豹党精神，主席粉，发动群众武装革命，让统治者颤抖，把红（黑）旗插遍全世界，“黑人/无产阶级失去的只有镣铐，但他们得到了自由/全世界”。（连当上领袖后的独断也像主席）
而王子，就是与美帝讲和的削平同志，不输出革命，大家一起发财。
        "
126,indicent time,4," 观众是出了名的难伺候的，我不喜欢雷神：诸神黄昏，是因为家园落难这么严肃的事情被拍成了欢乐喜剧人，那个时候很多观众也是这么说的；现在终于走严肃路线，不再乱讲段子，认真讲起了王子复仇的故事，还有两对父子对话、兄弟临别看夕阳的动情时刻，怎么说都是跨出了新的一步，观众却说“不好笑了”
        "
127,Mr. Sang,4," 韩剧是女人的a片，战狼是小粉红的，黑豹是老黑的
        "
128,薇羅尼卡,2," 好像从未给漫威打过如此低分。不明所以的故事、充斥全片的说教、战斗力渣爆的超级英雄。无法get到本片的任何点，看到后半程几欲退场。
        "
